
ORIGIN,Description,Avg(DEP_DELAY_NEW)
"MTJ","Montrose/Delta, CO: Montrose Regional",12.4127
"MVY","Martha's Vineyard, MA: Martha's Vineyard Airport",24.6132
"MYR","Myrtle Beach, SC: Myrtle Beach International",16.2415
"OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",16.3490
"OAK","Oakland, CA: Metropolitan Oakland International",11.1254
"OGD","Ogden, UT: Ogden-Hinckley",20.0000
"OGG","Kahului, HI: Kahului Airport",7.3743
"OGS","Ogdensburg, NY: Ogdensburg International",19.9897
"OKC","Oklahoma City, OK: Will Rogers World",12.1306
"OMA","Omaha, NE: Eppley Airfield",12.2132
"OME","Nome, AK: Nome Airport",5.1709
"ONT","Ontario, CA: Ontario International",10.7305
"ORD","Chicago, IL: Chicago O'Hare International",16.3681
"ORF","Norfolk, VA: Norfolk International",18.2514
"ORH","Worcester, MA: Worcester Regional",27.8188
"OTH","North Bend/Coos Bay, OR: Southwest Oregon Regional",31.5708
"OTZ","Kotzebue, AK: Ralph Wien Memorial",5.0303
"OWB","Owensboro, KY: Owensboro Daviess County Regional",37.3913
"PAH","Paducah, KY: Barkley Regional",16.1501
"PBG","Plattsburgh, NY: Plattsburgh International",18.0806
"PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",18.6533
"PDX","Portland, OR: Portland International",8.4762
"PGD","Punta Gorda, FL: Punta Gorda Airport",17.7077
"PGV","Greenville, NC: Pitt Greenville",25.4285
"PHF","Newport News/Williamsburg, VA: Newport News/Williamsburg International",17.0171
"PHL","Philadelphia, PA: Philadelphia International",16.2303
"PHX","Phoenix, AZ: Phoenix Sky Harbor International",12.0503
"PIA","Peoria, IL: General Downing - Peoria International",17.2718
"PIB","Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",20.3489
"PIE","St. Petersburg, FL: St Pete Clearwater International",14.6663
"PIH","Pocatello, ID: Pocatello Regional",4.1716
"PIT","Pittsburgh, PA: Pittsburgh International",12.5277
"PLN","Pellston, MI: Pellston Regional Airport of Emmet County",16.0806
"PNS","Pensacola, FL: Pensacola International",11.2005
"PPG","Pago Pago, TT: Pago Pago International",70.7831
"PRC","Prescott, AZ: Ernest A. Love Field",3.6000
"PSC","Pasco/Kennewick/Richland, WA: Tri Cities",11.0905
"PSE","Ponce, PR: Mercedita",16.6924
"PSG","Petersburg, AK: Petersburg James A Johnson",4.4759
"PSM","Portsmouth, NH: Portsmouth International at Pease",25.9483
"PSP","Palm Springs, CA: Palm Springs International",13.2948
"PUB","Pueblo, CO: Pueblo Memorial",14.6559
"PVD","Providence, RI: Theodore Francis Green State",13.2950
"PVU","Provo, UT: Provo Municipal",19.0710
"PWM","Portland, ME: Portland International Jetport",16.8714
"RAP","Rapid City, SD: Rapid City Regional",15.5939
"RDD","Redding, CA: Redding Municipal",20.1504
"RDM","Bend/Redmond, OR: Roberts Field",15.9926
"RDU","Raleigh/Durham, NC: Raleigh-Durham International",17.2622
"RFD","Rockford, IL: Chicago/Rockford International",17.5619
"RHI","Rhinelander, WI: Rhinelander/Oneida County",13.9554
"RIC","Richmond, VA: Richmond International",16.8155
"RKS","Rock Springs, WY: Rock Springs Sweetwater County",14.5435
"RNO","Reno, NV: Reno/Tahoe International",12.9625
"ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",20.2713
"ROC","Rochester, NY: Greater Rochester International",14.3981
"ROW","Roswell, NM: Roswell International Air Center",12.7722
"RST","Rochester, MN: Rochester International",19.4646
"RSW","Fort Myers, FL: Southwest Florida International",15.0040
"SAF","Santa Fe, NM: Santa Fe Municipal",17.5813
"SAN","San Diego, CA: San Diego International",11.6883
"SAT","San Antonio, TX: San Antonio International",12.0166
"SAV","Savannah, GA: Savannah/Hilton Head International",16.3720
"SBA","Santa Barbara, CA: Santa Barbara Municipal",14.4674
"SBN","South Bend, IN: South Bend International",17.7229
"SBP","San Luis Obispo, CA: San Luis County Regional",16.9974
"SCC","Deadhorse, AK: Deadhorse Airport",4.9800
"SCE","State College, PA: University Park",18.1724
"SCK","Stockton, CA: Stockton Metropolitan",30.7139
"SDF","Louisville, KY: Louisville International-Standiford Field",15.7604
"SEA","Seattle, WA: Seattle/Tacoma International",9.2206
"SFB","Sanford, FL: Orlando Sanford International",15.2581
"SFO","San Francisco, CA: San Francisco International",14.6812
"SGF","Springfield, MO: Springfield-Branson National",15.7463
"SGU","St. George, UT: St George Regional",6.9475
"SHD","Staunton, VA: Shenandoah Valley Regional",20.0784
"SHV","Shreveport, LA: Shreveport Regional",12.8643
"SIT","Sitka, AK: Sitka Rocky Gutierrez",6.5821
"SJC","San Jose, CA: Norman Y. Mineta San Jose International",10.8196
"SJT","San Angelo, TX: San Angelo Regional/Mathis Field",10.2313
"SJU","San Juan, PR: Luis Munoz Marin International",16.5992
"SLC","Salt Lake City, UT: Salt Lake City International",10.0911
"SLN","Salina, KS: Salina Regional",33.7859
"SMF","Sacramento, CA: Sacramento International",10.0108
"SMX","Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",15.3428
"SNA","Santa Ana, CA: John Wayne Airport-Orange County",10.7753
"SPI","Springfield, IL: Abraham Lincoln Capital",17.0858
"SPN","Saipan, TT: Francisco C. Ada Saipan International",10.6800
"SPS","Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",9.5532
"SRQ","Sarasota/Bradenton, FL: Sarasota/Bradenton International",13.0274
"STC","St. Cloud, MN: St. Cloud Regional",24.6734
"STL","St. Louis, MO: St Louis Lambert International",13.6064
"STS","Santa Rosa, CA: Charles M. Schulz - Sonoma County",21.2282
"STT","Charlotte Amalie, VI: Cyril E King",14.0157
"STX","Christiansted, VI: Henry E. Rohlsen",13.8192
"SUN","Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",14.3054
"SUX","Sioux City, IA: Sioux Gateway/Col. Bud Day Field",16.4761
"SWF","Newburgh/Poughkeepsie, NY: Stewart International",27.4488
"SWO","Stillwater, OK: Stillwater Regional",8.5636
