
DEST,Description,Avg(ARR_DELAY)
"OKC","Oklahoma City, OK: Will Rogers World",6.7851
"OMA","Omaha, NE: Eppley Airfield",4.3910
"OME","Nome, AK: Nome Airport",-4.6163
"ONT","Ontario, CA: Ontario International",5.3798
"ORD","Chicago, IL: Chicago O'Hare International",9.1527
"ORF","Norfolk, VA: Norfolk International",9.7506
"ORH","Worcester, MA: Worcester Regional",21.0159
"OTH","North Bend/Coos Bay, OR: Southwest Oregon Regional",23.6190
"OTZ","Kotzebue, AK: Ralph Wien Memorial",-6.3138
"OWB","Owensboro, KY: Owensboro Daviess County Regional",9.1159
"PAH","Paducah, KY: Barkley Regional",9.6741
"PBG","Plattsburgh, NY: Plattsburgh International",-0.2933
"PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",7.2787
"PDX","Portland, OR: Portland International",1.3526
"PGD","Punta Gorda, FL: Punta Gorda Airport",16.2767
"PGV","Greenville, NC: Pitt Greenville",21.7291
"PHF","Newport News/Williamsburg, VA: Newport News/Williamsburg International",11.4982
"PHL","Philadelphia, PA: Philadelphia International",7.8378
"PHX","Phoenix, AZ: Phoenix Sky Harbor International",5.1834
"PIA","Peoria, IL: General Downing - Peoria International",8.1684
"PIB","Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",18.1872
"PIE","St. Petersburg, FL: St Pete Clearwater International",14.7600
"PIH","Pocatello, ID: Pocatello Regional",-2.4420
"PIT","Pittsburgh, PA: Pittsburgh International",5.5082
"PLN","Pellston, MI: Pellston Regional Airport of Emmet County",5.0636
"PNS","Pensacola, FL: Pensacola International",4.1917
"PPG","Pago Pago, TT: Pago Pago International",59.1341
"PRC","Prescott, AZ: Ernest A. Love Field",13.6666
"PSC","Pasco/Kennewick/Richland, WA: Tri Cities",4.2510
"PSE","Ponce, PR: Mercedita",16.0701
"PSG","Petersburg, AK: Petersburg James A Johnson",-2.2662
"PSM","Portsmouth, NH: Portsmouth International at Pease",11.6291
"PSP","Palm Springs, CA: Palm Springs International",4.5980
"PUB","Pueblo, CO: Pueblo Memorial",5.5195
"PVD","Providence, RI: Theodore Francis Green State",9.9707
"PVU","Provo, UT: Provo Municipal",4.6542
"PWM","Portland, ME: Portland International Jetport",9.2328
"RAP","Rapid City, SD: Rapid City Regional",6.2431
"RDD","Redding, CA: Redding Municipal",3.1940
"RDM","Bend/Redmond, OR: Roberts Field",3.2572
"RDU","Raleigh/Durham, NC: Raleigh-Durham International",7.6135
"RFD","Rockford, IL: Chicago/Rockford International",-0.7222
"RHI","Rhinelander, WI: Rhinelander/Oneida County",3.2802
"RIC","Richmond, VA: Richmond International",9.5252
"RKS","Rock Springs, WY: Rock Springs Sweetwater County",8.9285
"RNO","Reno, NV: Reno/Tahoe International",6.7776
"ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",7.4630
"ROC","Rochester, NY: Greater Rochester International",6.4235
"ROW","Roswell, NM: Roswell International Air Center",2.7502
"RST","Rochester, MN: Rochester International",13.2271
"RSW","Fort Myers, FL: Southwest Florida International",4.2787
"SAF","Santa Fe, NM: Santa Fe Municipal",9.2494
"SAN","San Diego, CA: San Diego International",3.2740
"SAT","San Antonio, TX: San Antonio International",4.6145
"SAV","Savannah, GA: Savannah/Hilton Head International",5.9885
"SBA","Santa Barbara, CA: Santa Barbara Municipal",7.7262
"SBN","South Bend, IN: South Bend International",9.6584
"SBP","San Luis Obispo, CA: San Luis County Regional",8.0752
