
ORIGIN,Description,Sum(FLIGHTS)
"LSE","La Crosse, WI: La Crosse Regional",1445
"LWB","Lewisburg, WV: Greenbrier Valley",347
"LWS","Lewiston, ID: Lewiston Nez Perce County",440
"LYH","Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",759
"MAF","Midland/Odessa, TX: Midland International Air and Space Port",5925
"MBS","Saginaw/Bay City/Midland, MI: MBS International",1925
"MCI","Kansas City, MO: Kansas City International",37581
"MCO","Orlando, FL: Orlando International",93551
"MDT","Harrisburg, PA: Harrisburg International",4256
"MDW","Chicago, IL: Chicago Midway International",58348
"MEI","Meridian, MS: Key Field",728
"MEM","Memphis, TN: Memphis International",15259
"MFE","Mission/McAllen/Edinburg, TX: McAllen Miller International",3006
"MFR","Medford, OR: Rogue Valley International - Medford",3128
"MGM","Montgomery, AL: Montgomery Regional",2868
"MHK","Manhattan/Ft. Riley, KS: Manhattan Regional",1206
"MHT","Manchester, NH: Manchester-Boston Regional",6870
"MIA","Miami, FL: Miami International",59746
"MKE","Milwaukee, WI: General Mitchell International",22534
"MKG","Muskegon, MI: Muskegon County",479
"MLB","Melbourne, FL: Melbourne International",1648
"MLI","Moline, IL: Quad City International",3418
"MLU","Monroe, LA: Monroe Regional",2039
"MMH","Mammoth Lakes, CA: Mammoth Lakes Airport",92
"MOB","Mobile, AL: Mobile Regional",4468
"MOT","Minot, ND: Minot International",1720
"MQT","Marquette, MI: Sawyer International",919
"MRY","Monterey, CA: Monterey Regional",2526
"MSN","Madison, WI: Dane County Regional-Truax Field",8458
"MSO","Missoula, MT: Missoula International",2288
"MSP","Minneapolis, MN: Minneapolis-St Paul International",107509
"MSY","New Orleans, LA: Louis Armstrong New Orleans International",37772
"MTJ","Montrose/Delta, CO: Montrose Regional",1168
"MVY","Martha's Vineyard, MA: Martha's Vineyard Airport",438
"MYR","Myrtle Beach, SC: Myrtle Beach International",8142
"OAJ","Jacksonville/Camp Lejeune, NC: Albert J Ellis",2159
"OAK","Oakland, CA: Metropolitan Oakland International",34990
"OGD","Ogden, UT: Ogden-Hinckley",90
"OGG","Kahului, HI: Kahului Airport",17144
"OGS","Ogdensburg, NY: Ogdensburg International",109
"OKC","Oklahoma City, OK: Will Rogers World",15318
"OMA","Omaha, NE: Eppley Airfield",16435
"OME","Nome, AK: Nome Airport",483
"ONT","Ontario, CA: Ontario International",14177
"ORD","Chicago, IL: Chicago O'Hare International",220069
"ORF","Norfolk, VA: Norfolk International",14806
"ORH","Worcester, MA: Worcester Regional",600
"OTH","North Bend/Coos Bay, OR: Southwest Oregon Regional",239
"OTZ","Kotzebue, AK: Ralph Wien Memorial",484
"OWB","Owensboro, KY: Owensboro Daviess County Regional",72
"PAH","Paducah, KY: Barkley Regional",477
"PBG","Plattsburgh, NY: Plattsburgh International",563
"PBI","West Palm Beach/Palm Beach, FL: Palm Beach International",17521
"PDX","Portland, OR: Portland International",42829
"PGD","Punta Gorda, FL: Punta Gorda Airport",3660
"PGV","Greenville, NC: Pitt Greenville",619
"PHF","Newport News/Williamsburg, VA: Newport News/Williamsburg International",2066
"PHL","Philadelphia, PA: Philadelphia International",78483
"PHX","Phoenix, AZ: Phoenix Sky Harbor International",117562
"PIA","Peoria, IL: General Downing - Peoria International",3599
"PIB","Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",486
"PIE","St. Petersburg, FL: St Pete Clearwater International",5259
"PIH","Pocatello, ID: Pocatello Regional",840
"PIT","Pittsburgh, PA: Pittsburgh International",32550
"PLN","Pellston, MI: Pellston Regional Airport of Emmet County",726
"PNS","Pensacola, FL: Pensacola International",7618
"PPG","Pago Pago, TT: Pago Pago International",83
"PRC","Prescott, AZ: Ernest A. Love Field",5
"PSC","Pasco/Kennewick/Richland, WA: Tri Cities",2174
"PSE","Ponce, PR: Mercedita",554
"PSG","Petersburg, AK: Petersburg James A Johnson",486
"PSM","Portsmouth, NH: Portsmouth International at Pease",219
"PSP","Palm Springs, CA: Palm Springs International",7014
"PUB","Pueblo, CO: Pueblo Memorial",594
"PVD","Providence, RI: Theodore Francis Green State",12418
"PVU","Provo, UT: Provo Municipal",359
"PWM","Portland, ME: Portland International Jetport",7896
"RAP","Rapid City, SD: Rapid City Regional",2923
"RDD","Redding, CA: Redding Municipal",734
"RDM","Bend/Redmond, OR: Roberts Field",2345
"RDU","Raleigh/Durham, NC: Raleigh-Durham International",39986
"RFD","Rockford, IL: Chicago/Rockford International",472
"RHI","Rhinelander, WI: Rhinelander/Oneida County",482
"RIC","Richmond, VA: Richmond International",15350
"RKS","Rock Springs, WY: Rock Springs Sweetwater County",443
"RNO","Reno, NV: Reno/Tahoe International",11875
"ROA","Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",1693
"ROC","Rochester, NY: Greater Rochester International",9265
"ROW","Roswell, NM: Roswell International Air Center",908
"RST","Rochester, MN: Rochester International",2094
"RSW","Fort Myers, FL: Southwest Florida International",22769
"SAF","Santa Fe, NM: Santa Fe Municipal",964
"SAN","San Diego, CA: San Diego International",60427
"SAT","San Antonio, TX: San Antonio International",26070
"SAV","Savannah, GA: Savannah/Hilton Head International",10452
"SBA","Santa Barbara, CA: Santa Barbara Municipal",4745
"SBN","South Bend, IN: South Bend International",4430
"SBP","San Luis Obispo, CA: San Luis County Regional",3182
"SCC","Deadhorse, AK: Deadhorse Airport",611
"SCE","State College, PA: University Park",759
"SCK","Stockton, CA: Stockton Metropolitan",498
"SDF","Louisville, KY: Louisville International-Standiford Field",14676
"SEA","Seattle, WA: Seattle/Tacoma International",95126
"SFB","Sanford, FL: Orlando Sanford International",6733
"SFO","San Francisco, CA: San Francisco International",118329
"SGF","Springfield, MO: Springfield-Branson National",5846
"SGU","St. George, UT: St George Regional",2062
"SHD","Staunton, VA: Shenandoah Valley Regional",407
"SHV","Shreveport, LA: Shreveport Regional",4464
"SIT","Sitka, AK: Sitka Rocky Gutierrez",977
